iter	Passed	Remaining
204	716	2779
205	718	2768
206	719	2755
207	720	2742
208	721	2729
209	722	2717
210	723	2705
211	768	2857
212	770	2845
213	771	2834
214	779	2847
215	781	2836
216	782	2825
217	784	2813
218	785	2801
219	786	2789
220	788	2778
221	792	2776
222	793	2766
223	795	2755
224	796	2744
225	798	2733
226	799	2722
227	800	2711
228	802	2700
229	809	2708
230	810	2698
231	811	2687
232	842	2771
233	843	2761
234	845	2750
235	846	2740
236	857	2760
237	858	2749
238	860	2738
239	861	2727
240	863	2718
241	864	2708
242	866	2697
243	876	2716
244	878	2706
245	879	2696
246	881	2685
247	883	2677
248	884	2669
249	886	2658
250	887	2649
251	889	2639
252	890	2629
253	891	2619
254	892	2608
255	899	2613
256	900	2604
257	902	2596
258	904	2587
259	905	2578
260	907	2568
261	908	2560
262	913	2560
263	915	2552
264	917	2543
265	919	2536
266	920	2527
267	922	2518
268	923	2510
269	926	2504
270	930	2502
271	931	2493
272	933	2484
273	934	2476
274	938	2475
275	944	2478
276	946	2471
277	947	2461
278	948	2452
279	950	2442
280	951	2433
281	952	2424
282	953	2415
283	954	2406
284	955	2396
285	962	2402
286	964	2395
287	965	2387
288	966	2378
289	967	2369
290	969	2361
291	970	2353
292	971	2344
293	976	2344
294	977	2335
295	978	2327
296	979	2319
297	981	2311
298	982	2302
299	983	2293
300	983	2284
301	984	2276
302	985	2267
303	986	2259
304	991	2258
305	992	2250
306	993	2241
307	994	2233
308	995	2225
309	995	2216
310	996	2208
311	997	2200
312	998	2192
313	999	2184
314	1000	2176
315	1005	2176
316	1007	2170
317	1008	2162
318	1009	2154
319	1010	2147
320	1011	2139
321	1012	2132
322	1013	2124
323	1014	2117
324	1023	2125
325	1025	2119
326	1026	2113
327	1028	2107
328	1030	2101
329	1031	2094
330	1037	2096
331	1039	2090
332	1041	2085
333	1042	2079
334	1044	2072
335	1045	2066
336	1047	2059
337	1048	2052
338	1050	2048
339	1051	2041
340	1053	2035
341	1054	2029
342	1056	2023
343	1057	2016
344	1058	2010
345	1060	2003
346	1065	2004
347	1066	1998
348	1068	1993
349	1070	1988
350	1072	1983
351	1074	1977
352	1076	1972
353	1086	1982
354	1088	1977
355	1089	1970
356	1090	1964
357	1091	1957
358	1096	1957
359	1097	1951
360	1099	1946
361	1101	1941
362	1103	1935
363	1104	1930
364	1106	1924
365	1107	1919
366	1110	1915
367	1111	1909
368	1113	1903
369	1114	1897
370	1115	1891
371	1116	1885
372	1117	1879
373	1119	1873
374	1123	1872
375	1124	1866
376	1125	1860
377	1127	1854
378	1128	1848
379	1129	1842
380	1130	1836
381	1131	1830
382	1132	1824
383	1133	1818
384	1134	1811
385	1135	1806
386	1138	1803
387	1140	1798
388	1140	1792
389	1141	1786
390	1142	1780
391	1143	1774
392	1144	1768
393	1145	1762
394	1146	1756
395	1147	1750
396	1148	1744
397	1149	1738
398	1154	1739
399	1155	1733
400	1156	1728
401	1158	1722
402	1159	1717
403	1160	1711
404	1161	1706
405	1162	1700
406	1163	1695
407	1164	1689
408	1166	1684
409	1171	1685
410	1172	1680
411	1173	1675
412	1175	1670
413	1176	1665
414	1177	1659
415	1178	1654
416	1179	1649
417	1181	1644
418	1185	1643
419	1186	1638
420	1187	1632
421	1188	1627
422	1189	1622
423	1190	1616
424	1190	1611
425	1191	1606
426	1192	1600
427	1193	1595
428	1194	1590
429	1196	1585
430	1199	1583
431	1200	1578
432	1201	1573
433	1202	1568
434	1203	1563
435	1204	1558
436	1205	1553
437	1206	1548
438	1207	1543
439	1208	1538
440	1209	1533
441	1210	1528
442	1215	1527
443	1216	1523
444	1217	1518
445	1218	1513
446	1219	1508
447	1220	1503
448	1221	1498
449	1222	1493
450	1223	1489
451	1224	1484
452	1225	1479
453	1226	1474
454	1229	1472
455	1231	1468
456	1232	1463
457	1233	1459
458	1234	1455
459	1235	1450
460	1236	1445
461	1237	1441
462	1238	1436
463	1239	1431
464	1240	1427
465	1244	1425
466	1245	1421
467	1246	1417
468	1247	1412
469	1249	1408
470	1250	1404
471	1251	1399
472	1252	1395
473	1253	1390
474	1255	1387
475	1262	1390
476	1264	1386
477	1265	1381
478	1266	1377
479	1267	1373
480	1268	1369
481	1270	1364
482	1271	1360
483	1274	1358
484	1275	1354
485	1276	1350
486	1277	1346
487	1278	1341
488	1279	1337
489	1280	1332
490	1281	1328
491	1282	1324
492	1283	1320
493	1284	1315
494	1285	1311
495	1286	1307
496	1289	1305
497	1291	1301
498	1292	1297
499	1293	1293
500	1294	1289
501	1295	1285
502	1297	1281
503	1297	1277
504	1298	1273
505	1299	1268
506	1300	1264
507	1301	1260
508	1305	1259
509	1307	1255
510	1308	1251
511	1309	1247
512	1310	1243
513	1311	1239
514	1312	1235
515	1313	1231
516	1314	1227
517	1315	1223
518	1316	1219
519	1317	1216
520	1321	1215
521	1323	1211
522	1324	1207
523	1325	1204
524	1326	1200
525	1327	1196
526	1328	1192
527	1329	1188
528	1331	1185
529	1332	1181
530	1333	1178
531	1334	1174
532	1335	1170
533	1336	1166
534	1338	1162
535	1339	1159
536	1340	1155
537	1341	1151
538	1342	1148
539	1343	1144
540	1347	1143
541	1349	1140
542	1351	1137
543	1352	1133
544	1353	1129
545	1354	1126
546	1355	1122
547	1356	1119
548	1357	1115
549	1358	1111
550	1364	1111
551	1365	1108
552	1366	1104
553	1368	1101
554	1369	1097
555	1370	1094
556	1371	1090
557	1372	1086
558	1373	1083
559	1374	1079
560	1375	1076
561	1378	1074
562	1380	1071
563	1382	1068
564	1383	1065
565	1384	1061
566	1385	1058
567	1386	1054
568	1387	1050
569	1388	1047
570	1389	1044
571	1394	1043
572	1395	1040
573	1396	1036
574	1397	1033
575	1399	1029
576	1400	1026
577	1401	1023
578	1402	1019
579	1403	1016
580	1404	1013
581	1406	1009
582	1407	1006
583	1408	1003
584	1409	999
585	1410	996
586	1411	993
587	1412	989
588	1413	986
589	1414	983
590	1416	980
591	1418	977
592	1419	974
593	1420	971
594	1421	967
595	1422	964
596	1423	961
597	1425	958
598	1426	954
599	1427	951
600	1428	948
601	1429	945
602	1433	943
603	1434	940
604	1435	937
605	1436	934
606	1437	930
607	1438	927
608	1440	924
609	1441	921
610	1442	918
611	1443	915
612	1446	912
613	1448	910
614	1449	907
615	1450	904
616	1451	901
617	1453	898
618	1454	895
619	1455	891
620	1456	888
621	1457	885
622	1458	882
623	1462	881
624	1464	878
625	1465	875
626	1466	872
627	1467	869
628	1468	866
629	1469	863
630	1471	860
631	1472	857
632	1473	854
633	1478	853
634	1479	850
635	1481	847
636	1482	844
637	1483	841
638	1484	838
639	1485	835
640	1487	832
641	1488	829
642	1489	826
643	1494	825
644	1495	822
645	1496	820
646	1497	817
647	1498	814
648	1499	811
649	1500	808
650	1501	805
651	1502	802
652	1503	799
653	1504	796
654	1508	794
655	1509	791
656	1510	788
657	1511	785
658	1512	782
659	1513	779
660	1514	776
661	1515	773
662	1516	770
663	1517	767
664	1518	764
665	1519	761
666	1520	759
667	1522	756
668	1523	753
669	1524	751
670	1525	748
671	1526	745
672	1527	742
673	1529	739
674	1530	736
675	1531	733
676	1532	730
677	1533	728
678	1537	726
679	1538	724
680	1540	721
681	1541	718
682	1543	716
683	1544	713
684	1545	710
685	1546	707
686	1547	704
687	1548	702
688	1552	700
689	1554	698
690	1555	695
691	1556	692
692	1557	690
693	1559	687
694	1560	684
695	1561	681
696	1562	679
697	1563	676
698	1568	675
699	1569	672
700	1570	669
701	1571	667
702	1572	664
703	1573	661
704	1575	659
705	1576	656
706	1577	653
707	1578	650
708	1582	649
709	1583	646
710	1585	644
711	1586	641
712	1587	639
713	1589	636
714	1590	633
715	1591	631
716	1592	628
717	1593	625
718	1598	624
719	1599	621
720	1600	619
721	1601	616
722	1602	614
723	1604	611
724	1605	609
725	1606	606
726	1607	603
727	1609	601
728	1614	600
729	1615	597
730	1616	594
731	1617	592
732	1618	589
733	1619	586
734	1620	584
735	1621	581
736	1622	579
737	1624	576
738	1626	574
739	1627	571
740	1628	569
741	1629	566
742	1630	564
743	1631	561
744	1632	558
745	1634	556
746	1635	553
747	1636	551
748	1638	549
749	1640	546
750	1641	544
751	1643	541
752	1644	539
753	1645	536
754	1646	534
755	1647	531
756	1648	529
757	1649	526
758	1650	524
759	1654	522
760	1655	520
761	1656	517
762	1657	514
763	1658	512
764	1659	509
765	1660	507
766	1661	504
767	1662	502
768	1663	499
769	1664	497
770	1665	494
771	1668	492
772	1670	490
773	1671	488
774	1672	485
775	1673	483
776	1674	480
777	1676	478
778	1677	476
779	1678	473
780	1679	471
781	1680	468
782	1684	466
783	1685	464
784	1686	461
785	1687	459
786	1688	457
787	1690	454
788	1691	452
789	1692	449
790	1693	447
791	1694	445
792	1695	442
793	1699	440
794	1701	438
795	1702	436
796	1703	433
797	1704	431
798	1705	429
799	1706	426
800	1707	424
801	1708	421
802	1709	419
803	1711	417
804	1715	415
805	1716	413
806	1717	410
807	1718	408
808	1719	406
809	1720	403
810	1721	401
811	1722	398
812	1723	396
813	1725	394
814	1726	391
815	1729	389
816	1730	387
817	1731	385
818	1732	382
819	1734	380
820	1735	378
821	1736	376
822	1738	373
823	1739	371
824	1740	369
825	1744	367
826	1746	365
827	1747	363
828	1749	360
829	1750	358
830	1750	356
831	1752	353
832	1753	351
833	1754	349
834	1754	346
835	1755	344
836	1759	342
837	1761	340
838	1762	338
839	1763	335
840	1763	333
841	1764	331
842	1765	328
843	1766	326
844	1767	324
845	1768	322
846	1770	319
847	1771	317
848	1775	315
849	1776	313
850	1777	311
851	1778	309
852	1779	306
853	1781	304
854	1782	302
855	1783	300
856	1784	297
857	1785	295
858	1787	293
859	1790	291
860	1792	289
861	1793	287
862	1794	284
863	1796	282
864	1797	280
865	1798	278
866	1799	276
867	1800	273
868	1804	272
869	1805	269
870	1807	267
871	1808	265
872	1809	263
873	1810	261
874	1811	258
875	1812	256
876	1813	254
877	1814	252
878	1815	249
879	1817	247
880	1820	245
881	1821	243
882	1822	241
883	1823	239
884	1825	237
885	1826	234
886	1827	232
887	1828	230
888	1829	228
889	1830	226
890	1831	224
891	1836	222
892	1837	220
893	1838	218
894	1840	215
895	1842	213
896	1843	211
897	1844	209
898	1845	207
899	1846	205
900	1848	203
901	1851	201
902	1853	199
903	1854	196
904	1855	194
905	1856	192
906	1857	190
907	1858	188
908	1859	186
909	1860	184
910	1861	181
911	1864	179
912	1866	177
913	1867	175
914	1868	173
915	1870	171
916	1871	169
917	1871	167
918	1872	165
919	1873	162
920	1874	160
921	1875	158
922	1876	156
923	1879	154
924	1882	152
925	1883	150
926	1884	148
927	1885	146
928	1886	144
929	1887	142
930	1888	139
931	1889	137
932	1890	135
933	1891	133
934	1892	131
935	1896	129
936	1897	127
937	1898	125
938	1899	123
939	1900	121
940	1901	119
941	1902	117
942	1903	115
943	1904	112
944	1905	110
945	1906	108
946	1907	106
947	1910	104
948	1912	102
949	1913	100
950	1914	98
951	1915	96
952	1916	94
953	1917	92
954	1918	90
955	1919	88
956	1920	86
957	1921	84
958	1922	82
959	1926	80
960	1927	78
961	1929	76
962	1931	74
963	1932	72
964	1933	70
965	1934	68
966	1935	66
967	1937	64
968	1943	62
969	1944	60
970	1945	58
971	1946	56
972	1947	54
973	1948	52
974	1949	49
975	1950	47
976	1951	45
977	1952	43
978	1958	42
979	1960	40
980	1961	37
981	1962	35
982	1963	33
983	1964	31
984	1965	29
985	1967	27
986	1968	25
987	1972	23
988	1973	21
989	1974	19
990	1975	17
991	1976	15
992	1977	13
993	1978	11
994	1979	9
995	1980	7
996	1982	5
997	1983	3
998	1987	1
999	1988	0
